code,name,thsRank,emRank,rankDiff,inThsTop100,inEmTop100,emListRank,thsChange,pct,price,emScore,emTime,emHisChange,emHourChange
000811,冰轮环境,80,159,79,true,false,,35,-0.75,53.12,580997.5091867726,2026-06-27 17:02:00,52,4
000657,中钨高新,81,96,15,true,true,96,-12,-5.84,99.51,774754.7926468301,2026-06-27 17:02:00,-4,-1
600909,华安证券,82,92,10,true,true,92,37,0.75,12.14,783006.1071131867,2026-06-27 17:02:00,27,8
002371,北方华创,126,82,-44,false,true,82,44,1.93,813.37,833385.6686792888,2026-06-27 17:02:00,83,4
600498,烽火通信,83,111,28,true,false,,-19,-10.00,76.22,698002.881076954,2026-06-27 17:02:00,-36,13
600481,双良节能,107,84,-23,false,true,84,-15,10.00,4.84,826655.3045213063,2026-06-27 17:02:00,-10,-3
002475,立讯精密,85,128,43,true,false,,-22,-8.63,68.00,648992.4894871296,2026-06-27 17:02:00,-52,3
002456,欧菲光,95,85,-10,true,true,85,-25,8.80,9.52,816358.9520465347,2026-06-27 17:02:00,-29,0
603259,药明康德,86,103,17,true,false,,1,0.82,118.18,733007.9332360487,2026-06-27 17:02:00,30,-2
001389,广合科技,147,86,-61,false,true,86,-14,10.00,220.88,815507.8006887389,2026-06-27 17:02:00,0,1
603678,火炬电子,121,87,-34,false,true,87,0,5.80,79.49,814836.9414137404,2026-06-27 17:02:00,7,1
601869,长飞光纤,88,138,50,true,false,,-3,-5.57,543.00,623621.1718713407,2026-06-27 17:02:00,-30,-4
002965,祥鑫科技,135,88,-47,false,true,88,-24,10.01,51.88,810752.4827133624,2026-06-27 17:02:00,14,-4
300655,晶瑞电材,154,90,-64,false,true,90,107,4.28,18.53,789567.8557015869,2026-06-27 17:02:00,99,4
300502,新易盛,91,99,8,true,true,99,-23,-7.29,566.00,759046.707567281,2026-06-27 17:02:00,-41,-3
603698,航天工程,152,91,-61,false,true,91,-29,10.00,43.55,784925.4527127489,2026-06-27 17:02:00,-21,1
002741,光华科技,92,114,22,true,false,,2,6.13,39.11,693328.5055889753,2026-06-27 17:02:00,11,-3
002491,通鼎互联,94,156,62,true,false,,-15,-6.10,36.15,586805.4433841833,2026-06-27 17:02:00,-71,-5
300260,新莱应材,204,94,-110,false,true,93,-23,14.54,92.90,780819.2351510264,2026-06-27 17:02:00,-14,-3
300433,蓝思科技,115,95,-20,false,true,95,-14,-0.23,55.59,776981.2174265225,2026-06-27 17:02:00,-6,-2
002837,英维克,96,146,50,true,false,,9,-5.08,82.57,600836.2659408925,2026-06-27 17:02:00,15,-1
600353,旭光电子,97,165,68,true,false,,17,-1.58,47.98,562048.347321394,2026-06-27 17:02:00,60,-1
001289,龙源电力,182,97,-85,false,true,97,-6,10.02,17.57,762155.7716989875,2026-06-27 17:02:00,4,0
601369,陕鼓动力,320,98,-222,false,true,98,12,9.96,9.05,760278.2836718919,2026-06-27 17:02:00,57,0
600596,新安股份,99,109,10,true,false,,27,3.79,17.80,711009.7843380149,2026-06-27 17:02:00,40,-2
000703,恒逸石化,100,119,19,true,false,,-24,7.34,16.67,683904.4785417394,2026-06-27 17:02:00,31,3
300395,菲利华,167,100,-67,false,true,100,52,4.80,139.96,754012.111047942,2026-06-27 17:02:00,37,-1
