date,tag,code,name,rid,price,pct_chg,turnover,net_buy
2026-06-26,,002584,西陇科学,002584_6,9.62,-6.33%,4.21亿,-3485.40万
2026-06-26,3日,002667,*ST威领,002667_29,11.90,-5.03%,9091.79万,-2082.71万
2026-06-26,3日,002674,兴业科技,002674_7,28.83,10.00%,2.00亿,573.32万
2026-06-26,3日,002713,*ST东易,002713_28,12.68,4.97%,1.07亿,982.18万
2026-06-26,3日,002726,ST龙大,002726_29,1.30,-5.11%,2613.40万,-858.56万
2026-06-26,3日,002787,华源控股,002787_7,32.47,7.02%,6.24亿,6905.58万
2026-06-26,,002808,恒久退,002808_35,0.17,0.00%,134.26万,-15.37万
2026-06-26,3日,002822,ST中装,002822_28,2.90,5.07%,3072.07万,-89.84万
2026-06-26,,002842,翔鹭钨业,002842_6,52.16,1.46%,10.51亿,9807.30万
2026-06-26,,002898,赛隆退,002898_35,0.35,-95.78%,524.98万,-44.29万
2026-06-26,,002962,五方光电,002962_6,19.34,10.01%,2.01亿,7450.11万
2026-06-26,3日,002965,祥鑫科技,002965_7,51.88,10.01%,7.65亿,-5673.12万
2026-06-26,,123207,冠中转债,123207_58,234.49,-0.83%,5.01亿,-551.80万
2026-06-26,3日,123267,珂玛转债,123267_62,369.00,10.81%,43.25亿,-1091.26万
2026-06-26,,300029,天龙退,300029_35,0.15,0.00%,92.75万,22.45万
2026-06-26,,300162,雷曼光电,300162_43040,12.13,19.98%,2.98亿,1.23亿
2026-06-26,,300195,长荣股份,300195_41,6.37,-15.18%,1.16亿,-2012.16万
2026-06-26,,300264,佳创视讯,300264_40,9.77,20.02%,1.70亿,4846.66万
2026-06-26,3日,300398,飞凯材料,300398_44,61.29,8.17%,52.99亿,6191.59万
2026-06-26,3日,300506,名家汇,300506_44,6.26,6.10%,4.32亿,2835.00万
2026-06-26,,300540,蜀道装备,300540_40,30.50,19.98%,3.14亿,2.03亿
2026-06-26,3日,300567,精测电子,300567_44,275.00,4.56%,34.02亿,-2747.39万
2026-06-26,,300721,怡达股份,300721_43,36.96,5.15%,3.98亿,1006.78万
2026-06-26,,300936,中英科技,300936_41,98.00,-17.73%,2.22亿,2878.30万
2026-06-26,3日,301051,信濠光电,301051_44,20.96,19.98%,4.78亿,-7908.24万
2026-06-26,,301051,信濠光电,301051_40,20.96,19.98%,3.41亿,-2863.88万
2026-06-26,,301349,信德新材,301349_40,75.60,20.00%,5.82亿,3561.32万
2026-06-26,3日,301526,国际复材,301526_44,52.27,9.17%,84.93亿,-3.19亿
2026-06-26,,301669,高特电子,301669_43,44.33,-6.42%,3.44亿,-4380.37万
2026-06-26,,600184,光电股份,600184_5,30.21,3.56%,6.72亿,-1879.09万
2026-06-26,,600193,退市创兴,600193_35,0.16,6.67%,222.33万,55.37万
2026-06-26,3日,600206,有研新材,600206_7,60.76,8.19%,45.50亿,-4.62亿
2026-06-26,3日,600228,返利科技,600228_7,10.79,9.99%,3574.64万,1795.99万
2026-06-26,,600330,天通股份,600330_5,32.75,-8.01%,16.64亿,-5.35亿
2026-06-26,,600498,烽火通信,600498_4,76.22,-10.00%,21.71亿,-2.31亿
2026-06-26,,600520,三佳科技,600520_6,36.00,7.53%,4.51亿,2.15亿
2026-06-26,,600545,卓郎智能,600545_3,7.10,10.08%,2.78亿,2.25亿
2026-06-26,,600608,退市沪科,600608_35,0.16,-5.88%,126.42万,-17.61万
2026-06-26,,600667,太极实业,600667_6,26.88,6.20%,31.54亿,3.36亿
2026-06-26,,600726,华电能源,600726_5,7.19,-5.27%,6.98亿,-1.26亿
2026-06-26,,600776,东方通信,600776_4,13.40,-10.01%,6808.90万,-3397.82万
2026-06-26,,600851,海欣股份,600851_4,8.80,-10.02%,9906.05万,-2766.27万
2026-06-26,3日,600857,宁波中百,600857_7,17.87,2.94%,3.27亿,621.07万
2026-06-26,3日,600888,新疆众和,600888_7,16.12,0.00%,16.60亿,1.82亿
2026-06-26,3日,600962,国投中鲁,600962_7,29.00,10.02%,1.66亿,5393.41万
2026-06-26,,601016,节能风电,601016_3,3.94,10.06%,4.29亿,2.09亿
2026-06-26,3日,601133,柏诚股份,601133_7,38.28,10.00%,7.65亿,7864.87万
2026-06-26,,603002,宏昌电子,603002_5,26.23,5.13%,9.12亿,3.24亿
2026-06-26,3日,603065,宿迁联盛,603065_7,21.85,8.54%,4.77亿,3843.93万
2026-06-26,,603082,北自科技,603082_6,42.90,-3.40%,3.22亿,-4757.40万
2026-06-26,3日,603155,新亚强,603155_7,25.34,9.98%,3.83亿,7814.49万
2026-06-26,,603159,上海亚虹,603159_4,17.06,-10.02%,5439.59万,89.06万
2026-06-26,3日,603163,圣晖集成,603163_7,135.58,10.00%,3.85亿,8517.92万
2026-06-26,3日,603201,常润股份,603201_8,15.57,-10.00%,9338.57万,-4625.20万
2026-06-26,3日,603203,快克智能,603203_7,76.00,3.83%,9.19亿,-5650.89万
2026-06-26,3日,603256,宏和科技,603256_7,297.00,7.31%,34.76亿,-5685.68万
2026-06-26,,603316,诚邦股份,603316_4,21.65,-10.02%,2.17亿,-7035.28万
2026-06-26,3日,603318,水发燃气,603318_8,8.81,-6.97%,3.26亿,1365.77万
2026-06-26,3日,603324,盛剑科技,603324_7,51.02,6.83%,7.77亿,6169.83万
2026-06-26,,603407,长裕集团,603407_6,91.73,-0.15%,3.60亿,-3955.45万
2026-06-26,,603459,红板科技,603459_6,92.74,-2.34%,4.61亿,-1.22亿
2026-06-26,3日,603595,ST东尼,603595_28,36.98,5.00%,6428.03万,-1034.59万
2026-06-26,3日,603650,彤程新材,603650_7,85.83,10.00%,23.69亿,6717.07万
2026-06-26,3日,603661,恒林股份,603661_7,40.06,7.40%,2.72亿,2412.97万
2026-06-26,3日,603698,航天工程,603698_7,43.55,10.00%,11.29亿,1.09亿
2026-06-26,3日,603800,洪田股份,603800_7,88.46,4.13%,10.92亿,1.57亿
2026-06-26,,603861,白云电器,603861_3,14.25,10.04%,1.53亿,8130.11万
