source,strategy,code,name,signalDate,rank,rank5,rank10,rank20,median5,medianPrev5,medianPrev10,trendScore,hotScore,rankMarketAllCount,entryDate,entryOpen,signalClose,signalAmount,signalTurnover,amount5,amount20,volumeRatio,turnover5,volumeConfirmed,totalMarketValue,floatMarketValue,exitDate5,ret5,exitDate10,ret10,exitDate20,ret20
eastmoney,popularity_only,002585,双星新材,2026-06-05,53,187,12,531,65,153,195.5,235.95,3587151.697256477,5525,2026-06-08,10.93,11.82,3646255746.33,33.39,2009834328.154,1002437810.1239998,2.0049466489151953,19.894,true,15362202358,11935745640,2026-06-12,0.059469350411710975,2026-06-22,0.3357731015553522,,
eastmoney,popularity_only,002354,天娱数科,2026-06-05,18,141,142,303,155,268,280,196.39999999999998,5040858.187345752,5525,2026-06-08,7.1,6.66,831246961.49,7.69,1382160508.994,1272482113.1479998,1.086192485310985,12.639999999999999,false,14609992791,14354876069,2026-06-12,0.05915492957746471,2026-06-22,0.19718309859154926,,
eastmoney,popularity_only,300319,麦捷科技,2026-06-05,32,481,948,2158,120,691,557,1342.55,4120671.688253718,5525,2026-06-08,23.49,22.17,5888923639,31.95,3515447904.8,869710788.2,4.042088418928043,22.497999999999998,true,27515238044,26389376820,2026-06-12,-0.16645381013197103,2026-06-22,0.3465304384844614,,
eastmoney,popularity_only,603135,中重科技,2026-06-05,31,4435,4484,3038,138,4533,3690.5,3704.9,4175187.276134993,5525,2026-06-08,14.28,14.03,464075561,5.62,173207964,72400011.7,2.39237480675711,2.2359999999999998,true,7756964088,7699250718,2026-06-12,-0.15826330532212884,2026-06-22,-0.1071428571428571,,
eastmoney,popularity_only,600667,太极实业,2026-06-04,8,160,156,213,77,163,160,167.75000000000003,10704986.84409303,5524,2026-06-05,16.3,16.36,3064278461,9.24,4683289880.2,3073467337.8,1.5237805922324579,15.573999999999998,true,56220653745,56220653745,2026-06-11,0.07423312883435584,2026-06-18,0.28343558282208603,,
eastmoney,popularity_only,601208,东材科技,2026-06-04,63,202,231,420,133,202,206.5,239.25,4566207.312492919,5524,2026-06-05,59.16,59.6,6395181194,10.95,5582297298.4,4057654769.8,1.3757447627007333,10.39,true,74399973752,74399973752,2026-06-11,0.043272481406355645,2026-06-18,0.2648749154834349,,
eastmoney,popularity_only,002951,金时科技,2026-06-04,42,327,147,2182,79,435,1770,1206.35,5354938.802238101,5524,2026-06-05,23.25,24.79,684438138.33,7.33,676191004.512,161653209.24,4.182972968436936,8.262,true,5661900000,5607719462,2026-06-11,-0.3032258064516129,2026-06-18,-0.3075268817204301,,
eastmoney,popularity_only,002859,洁美科技,2026-06-04,30,211,210,1514,112,237,583.5,796.1,6132280.940442784,5524,2026-06-05,92.5,94.39,2962694031.17,7.97,2592873282.8580003,859426855.96,3.0169795892190265,8.046,true,44748380961,42120181257,2026-06-11,-0.15664864864864858,2026-06-18,0.07816216216216221,,
eastmoney,popularity_only,300285,国瓷材料,2026-06-04,46,199,178,705,128,234,359.5,382.25,5157042.188290235,5524,2026-06-05,62.11,64,8747206634,16.32,7349972935.8,3169619978.3,2.3188814388222334,14.951999999999998,true,102506535620,87765671439,2026-06-11,0.004669135404926639,2026-06-18,0.4414748027692803,,
eastmoney,popularity_only,000700,模塑科技,2026-06-04,68,970,571,193,83,781,359,370.05,4211295.505763431,5524,2026-06-05,18.27,17.8,3332457732.28,20.49,1807561987.9,1269098059.0210001,1.4242886710380587,12.313999999999998,true,12971557447,12971557447,2026-06-11,-0.19704433497536944,2026-06-18,-0.1543513957307061,,
eastmoney,popularity_only,600255,鑫科材料,2026-06-04,18,1992,2586,3085,42,1378,2160,2658.4500000000003,8041050.068806326,5524,2026-06-05,4.5,4.83,2959451119,34.37,926645111.2,221576368,4.182057498117309,11.684000000000001,true,6664682264,6664682264,2026-06-11,-0.05111111111111122,2026-06-18,-0.057777777777777706,,
eastmoney,popularity_only,600403,大有能源,2026-06-03,27,2497,3028,3069,54,2898,3208,2955.1,6329596.493720037,5524,2026-06-04,7.4,6.73,636113503,4.04,243962434,104125005.35,2.342976436639386,1.704,false,13125560087,13125560087,2026-06-10,0.03378378378378377,2026-06-17,-0.1594594594594595,,
eastmoney,popularity_only,600121,郑州煤电,2026-06-03,16,875,1818,2450,49,1058,2004.5,1960.3,7519562.684126237,5524,2026-06-04,5.69,5.69,1541583722,23.96,744285248,234311245.6,3.176481120631284,12.426,true,4386283337,4386283337,2026-06-10,-0.19683655536028122,2026-06-17,-0.25659050966608077,,
eastmoney,popularity_only,000657,中钨高新,2026-06-03,44,184,21,313,147,184,268.5,147.29999999999998,5432148.234419744,5524,2026-06-04,70.5,71.71,8723599980.32,8.45,6884103854.832001,5548677765.030001,1.2406746519357084,6.994,true,226743923844,144580600782,2026-06-10,0.03404255319148941,2026-06-17,0.2699290780141843,,
eastmoney,popularity_only,600310,广西能源,2026-06-03,13,211,929,752,163,211,931,713.8500000000001,8392888.817159964,5524,2026-06-04,6.76,6.32,693746976,7.52,1107238824.4,872503073.8,1.2690371617576761,12.758000000000001,true,5804214459,5804214459,2026-06-10,-0.2973372781065089,2026-06-17,-0.30917159763313606,,
eastmoney,popularity_only,603330,天洋新材,2026-06-03,59,4059,2902,3362,154,3359,4812.5,3405.1,4909328.685023134,5524,2026-06-04,8.55,8.55,101203110,2.91,147738846.2,79179177.65,1.8658800278661392,5.018,true,3283992996,3086953416,2026-06-10,0.05263157894736836,2026-06-17,-0.05847953216374269,,
eastmoney,popularity_only,300197,节能铁汉,2026-06-03,68,876,4428,4118,116,3366,4076,3647.7,4464251.439350092,5524,2026-06-04,2.87,2.78,1275113025,15.78,537379659.2,92766906.7,5.79279484803604,7.731999999999999,true,5841637218,5841489468,2026-06-10,-0.04878048780487809,2026-06-17,-0.19512195121951226,,
eastmoney,popularity_only,601869,长飞光纤,2026-06-02,18,261,165,203,42,237,157,175.29999999999998,7599098.974795029,5525,2026-06-03,423,408.74,7838952148,4.86,6630524053.6,5908516903.6,1.122197695594319,4.258,false,449552473644,220641704502,2026-06-09,0.14498817966903066,2026-06-16,0.09716312056737597,,
eastmoney,popularity_only,600869,远东股份,2026-06-02,30,302,460,177,27,486,310.5,264.3,6386472.424821664,5525,2026-06-03,25.9,25.28,2977574147,5.47,2671146600,2163822759.85,1.23445720673775,5.2299999999999995,true,76811798539,76811798539,2026-06-09,0.14362934362934365,2026-06-16,0.3127413127413128,,
eastmoney,popularity_only,603618,杭电股份,2026-06-02,52,119,232,227,36,264,249.5,164.15,5132978.4402341405,5525,2026-06-03,43.93,42.24,4644330041,16.65,4118227580,3032377303.5,1.3580854780988834,15.276,true,35951532032,35951532032,2026-06-09,-0.061006146141588835,2026-06-16,0.07056681083542005,,
eastmoney,popularity_only,002594,比亚迪,2026-06-02,135,107,288,274,135,252,218.5,112.6,2827279.127261073,5525,2026-06-03,96,96.76,5321331038.06,1.59,4377833205.844,4507211293.6415,0.9712953133614971,1.31,false,712964849583,272653175700,2026-06-09,-0.04281250000000003,2026-06-16,-0.06625000000000003,,
eastmoney,popularity_only,002806,华锋股份,2026-06-02,63,113,136,2765,49,517,2846.5,1525.0500000000002,4725357.5831451155,5525,2026-06-03,19.67,20.33,1380739445.09,41.93,902182129.9799999,222547322.60499996,4.0538889411007935,28.094,true,4300578785,3523886920,2026-06-09,-0.018301982714794218,2026-06-16,0.05236400610066072,,
eastmoney,popularity_only,300486,东杰智能,2026-06-02,81,3554,2634,3506,104,3076,2880,3105.7,4054800.291137037,5525,2026-06-03,29.71,29.98,1837525677,13.71,957573394.4,289589065.85,3.3066628105910576,7.962000000000001,true,10110785954,10107747117,2026-06-09,-0.10703466846179732,2026-06-16,-0.18579602827330866,,
eastmoney,popularity_only,301171,易点天下,2026-06-01,47,510,516,397,104,510,284.5,385.7,5076702.858906344,5525,2026-06-02,46,46.43,6038941109,26.06,3321775693.2,3052712226.95,1.0881391517597532,15.687999999999999,false,20312229377,16481892267,2026-06-08,-0.12413043478260877,2026-06-15,-0.1741304347826087,,
