signalDate,code,name,rank,rank20,median5,medianPrev10,stockAmountRatio,stockPrev5,boardName,boardType,boardRet5,boardRet10,boardAmountRatio,boardScoreRankPct,score
2026-06-16,000776,广发证券,604,1420,487,1194.5,1.8394102600635016,0.15158007498660941,证券Ⅱ,industry,0.0752257473196829,0.022436421528302608,1.3499561543126337,0.09803921568627451,166.4524519328733
2026-06-16,000408,藏格矿业,792,1818,792,1970.5,1.108060500317547,0.0138114209827358,小金属概念,concept,0.0952070781088854,0.059250460997329224,1.3492712657234687,0.024017467248908297,158.68257422427146
2026-06-16,000893,亚钾国际,729,2152,771,2588,1.1648872545583129,-0.05940594059405935,基础化工,industry,0.03627002625121434,0.020523740127496026,1.288576673029018,0.1568627450980392,146.28915588987525
2026-06-16,002532,天山铝业,720,1106,951,1502,1.3780285200820905,-0.04075471698113198,有色金属,industry,0.09071556882483955,0.04763822200189427,1.3539590107825104,0.0700280112044818,124.72471499244486
2026-06-16,688300,联瑞新材,544,1014,417,664.5,1.0773915381826813,0.3170498084291189,基础化工,industry,0.03627002625121434,0.020523740127496026,1.288576673029018,0.1568627450980392,95.10176298048447
2026-06-15,688323,瑞华泰,492,1405,556,1900.5,1.5280512855077384,0.5822704081632653,膜材料,industry,0.12152077851149401,0.13085237399122884,1.3703568857306048,0.025210084033613446,182.47939891441757
2026-06-15,002083,孚日股份,590,1687,476,2109,1.4289333655616963,0.1443181818181818,氟化工概念,concept,0.10650131951246045,0.07857482641967906,1.3224634612538766,0.019650655021834062,182.04853206591147
2026-06-15,300806,斯迪克,447,1315,794,1332,1.1970247328894452,0.17301819147523578,膜材料,industry,0.12152077851149401,0.13085237399122884,1.3703568857306048,0.025210084033613446,162.13706843229357
2026-06-15,600259,中稀有色,424,1311,424,969,1.2488726354608681,0.13846153846153864,稀土永磁,concept,0.08625952472471576,0.0793135501119091,1.3300507163036652,0.026200873362445413,160.47741126189572
2026-06-15,601020,华钰矿业,838,1252,697,1635.5,1.0931377493963133,0.03785488958990535,有色金属,industry,0.10279383864286173,0.05599184741939278,1.2036504364040943,0.06442577030812324,126.54751953133709
2026-06-12,301678,新恒汇,1141,1904,1009,2138.5,1.198470615414225,0.1787394167450611,半导体材料,industry,0.10493356062281123,0.13691479958119013,1.4136793674409132,0.0056022408963585435,131.8017994787773
2026-06-12,601939,建设银行,543,812,496,903,1.2704165344728258,0.04696673189823852,国有大型银行Ⅲ,industry,0.051632535570359295,0.06967063634142989,1.4450283282499792,0.0196078431372549,114.3719603640412
2026-06-09,301128,强瑞技术,428,1540,523,1900.5,1.4054090926958347,0.18442096244466644,柔性屏(折叠屏),concept,0.042858154462638076,0.0057647885909410945,1.302921645912802,0.03056768558951965,180.76395048679157
