em,code,signalDate,rank,rank20,median5,medianPrev5,medianPrev10,entryDate,entryOpen,signalClose,prev5,prev10,amountRatio,turnover5,exitDate5,ret5,exitDate10,ret10,exitDate20,ret20,boardCount,hasStrongBoard,hasStrongIndustry,hasStrongConcept,bestBoardType,bestBoardCode,bestBoardName,bestBoardRet5,bestBoardRet10,bestBoardAmountRatio,bestBoardScoreRankPct
SZ300007,300007,2026-05-08,733,1507,1228,2029,2047.5,2026-05-11,47.26,47.25,0.15384615384615374,0.0687627233657544,2.0395235660994304,5.846000000000001,2026-05-15,-0.00550148116800675,2026-05-22,0.07405840033855271,2026-06-05,-0.09500634786288609,36,true,true,true,concept,BK1184,人形机器人,0.1070707070707071,0.0696898023543484,1.43343651585975,0.05504587155963303
SZ300253,300253,2026-05-08,466,2210,1048,1602,1414,2026-05-11,9.52,9.54,0.13571428571428545,0.1343638525564803,1.9786873528309992,5.553999999999999,2026-05-15,-0.06617647058823517,2026-05-22,-0.09453781512605042,2026-06-05,-0.21218487394957974,20,true,true,true,industry,BK1207,计算机,0.07479426781261722,0.04443063814680026,1.3536767841812827,0.26330532212885155
SH688111,688111,2026-05-07,464,1135,604,1004,1052.5,2026-05-08,276,274.19,0.08161735700197248,0.0982976166633287,1.4297362288584268,2.174,2026-05-14,-0.07373188405797104,2026-05-21,-0.1163043478260869,2026-06-04,-0.13891304347826083,18,true,false,true,concept,BK1059,百元股,0.07219537815126054,0.08988308152260971,1.4545530360805174,0.0389908256880734
SZ300624,300624,2026-05-07,697,1973,1089,2224,1833,2026-05-08,72.63,71.29,0.02531281461239754,-0.01696083838940965,1.5046861814013632,6.484,2026-05-14,-0.10505300839873322,2026-05-21,-0.12226352746798841,2026-06-04,-0.2245628528156408,30,true,false,true,concept,BK0742,创业板综,0.04203459480122307,0.036694587322564365,1.222078219784173,0.28211009174311924
SZ301123,301123,2026-05-07,547,1118,719,1269,1367.5,2026-05-08,69.5,71.31,0.10729813664596266,0.0718472869382234,1.2174062403708161,8.034,2026-05-14,0.03453237410071952,2026-05-21,0.05899280575539567,2026-06-04,0.5365467625899281,15,true,true,true,concept,BK0877,PCB,0.0879435466163101,0.11953510047873905,1.3523884083051467,0.016055045871559634
SH600363,600363,2026-05-06,1018,2137,1226,1606,1926.5,2026-05-07,45.5,45.83,-0.11848432390844399,-0.14893221912720522,2.1210692476618727,3.12,2026-05-13,0.03076923076923066,2026-05-20,-0.09999999999999998,2026-06-03,-0.189010989010989,17,true,true,true,industry,BK1201,电子,0.05974450252718144,0.06839311211520749,1.503244317781574,0.09803921568627451
SH601118,601118,2026-05-06,696,2573,1021,1249,1515,2026-05-07,7.4,7.39,0.09970238095238093,0.13867488443759624,1.4456072743792612,1.3079999999999998,2026-05-13,0.055405405405405395,2026-05-20,-0.08378378378378382,2026-06-03,-0.04864864864864871,16,true,true,true,industry,BK1516,其他种植业,0.08475466249097519,0.12510697891542844,1.3896549866761252,0.03081232492997199
SZ002515,002515,2026-05-06,443,1166,817,1225,1081.5,2026-05-07,7.3,7.09,0.1147798742138364,0.10954616588419408,1.6732722120811605,7.45,2026-05-13,-0.021917808219178103,2026-05-20,0.013698630136986356,2026-06-03,-0.046575342465753455,12,true,false,true,concept,BK0866,人造肉,0.030213903743315562,0.05927824631481915,1.4686360912146843,0.1353211009174312
SH603156,603156,2026-04-30,718,3053,938,1871,2814,2026-05-06,37.97,36.55,0.13298202107873536,0.1940542306435804,1.8557941832039657,0.8140000000000001,2026-05-12,0.10666315512246527,2026-05-19,0.2473005003950488,2026-06-02,0.08217013431656572,10,true,true,true,industry,BK1586,软饮料,0.050575523658076715,0.06218656501879272,1.4457494206632167,0.06442577030812324
SH688122,688122,2026-04-30,566,1704,1253,1451,1507,2026-05-06,64.78,64.72,-0.10111111111111115,-0.12255965292841653,1.6073605166244087,3.082,2026-05-12,0.03349799320778013,2026-05-19,-0.02006792219820941,2026-06-02,-0.008799012040753396,22,true,false,true,concept,BK1137,存储芯片,0.03831847174563263,0.060635434816396216,1.5250483218699513,0.045871559633027525
SH688123,688123,2026-04-30,423,1574,1252,1667,1856,2026-05-06,128.7,123.49,0.018978463569601534,0.008081632653061277,1.6885146936096112,9.336,2026-05-12,0.2331002331002332,2026-05-19,0.2807303807303809,2026-06-02,-0.011655011655011593,21,true,true,true,industry,BK1036,半导体,0.06245737113904326,0.0884408065482134,1.6217828845480724,0.03361344537815126
SZ002151,002151,2026-04-30,512,1197,689,1196,1091.5,2026-05-06,40.9,40.9,0.03991863717264166,0.06565919749869709,1.3221392744702105,5.188,2026-05-12,0.049877750611246885,2026-05-19,-0.008557457212713948,2026-06-02,-0.1765281173594132,22,true,false,true,concept,BK0969,汽车芯片,0.04249573806332396,0.062003274494077276,1.4239373005200915,0.04128440366972477
SZ300706,300706,2026-04-30,465,807,578,1662,1334.5,2026-05-06,43.43,42.5,0.10879206887555437,0.16120218579234957,1.8036364297635261,15,2026-05-12,0.10545705733364019,2026-05-19,0.22081510476629074,2026-06-02,0.18144139995394903,13,true,true,true,concept,BK1113,复合集流体,0.08964023791649822,0.14465534707941297,1.2995364464914052,0.0045871559633027525
SH601918,601918,2026-04-29,813,2494,934,1727,2907,2026-04-30,8.99,9,0.15830115830115843,0.2195121951219512,1.7753361070545803,3.13,2026-05-11,-0.03559510567296997,2026-05-18,0.030033370411568283,2026-06-01,0.2547274749721913,9,true,true,true,industry,BK1493,动力煤,0.07790609193858833,0.11246875996101058,1.307821303838541,0.01680672268907563
SH603124,603124,2026-04-28,762,1892,762,2163,1891.5,2026-04-29,134.61,135.67,0.10130692426333288,0.1241196453724418,1.098809645119375,3.06,2026-05-08,-0.0012629076591635924,2026-05-15,-0.1152960404130452,2026-05-29,0.017754995914122107,11,true,false,true,concept,BK1113,复合集流体,0.04158548569416132,0.12064634809658559,1.4067495232870233,0.009174311926605505
SH600353,600353,2026-04-27,420,2972,1232,1715,1605,2026-04-28,17.81,17.89,0.08489993935718632,0.14900449582530517,1.939728056823204,4.636,2026-05-07,0.0005614823133073266,2026-05-14,0.18079730488489631,2026-05-28,0.3368893879842785,22,true,true,true,concept,BK0884,光刻机(胶),0.0362611866092144,0.07988975466363013,1.5881972754270095,0.03211009174311927
SH688120,688120,2026-04-27,648,3289,1282,1950,1750.5,2026-04-28,138.15,138.39,0.026023131672597843,0.08337247534053538,1.4092088578690645,1.6580000000000001,2026-05-07,0.03604777415852323,2026-05-14,0.2941006152732537,2026-05-28,0.4183134274339486,18,true,true,true,industry,BK1326,半导体设备,0.067462759221526,0.12614590199956055,1.6334609384799765,0.011204481792717087
SZ000636,000636,2026-04-27,452,1159,346,523,623,2026-04-28,23.08,23.29,0.050518718989625455,0.1366520253782333,1.3706374497321596,5.756,2026-05-07,0.0896880415944541,2026-05-14,0.22227036395147337,2026-05-28,1.1074523396880416,25,true,true,true,concept,BK0890,MLCC,0.059750563657638756,0.1459264288359463,1.749300905249504,0.0022935779816513763
SZ002409,002409,2026-04-27,429,1269,620,785,877,2026-04-28,82.69,88.81,0.030876378409750327,0.041759530791788846,1.3123784265974259,3.9219999999999997,2026-05-07,0.10980771556415525,2026-05-14,0.28903132180432944,2026-05-28,0.39134115370661515,25,true,true,true,industry,BK1325,半导体材料,0.06585894194962139,0.14637615648599178,1.892333713101297,0.0056022408963585435
SZ300568,300568,2026-04-27,595,854,359,1087,594.5,2026-04-28,15.89,16.51,0.04958677685950419,0.04164037854889613,1.0974714229827476,6.636,2026-05-07,0.08181246066708625,2026-05-14,0.041535556954059194,2026-05-28,0.06230333543108868,20,true,true,true,industry,BK1302,电池化学品,0.05414273082264143,0.09365403826232588,1.3512463781354214,0.047619047619047616
SH600409,600409,2026-04-24,467,1743,1188,1946,1666.5,2026-04-27,7.28,7.66,0.10374639769452454,0.06241331484049928,1.2191860462957027,2.4379999999999997,2026-05-06,0.0535714285714286,2026-05-13,0.019230769230769162,2026-05-27,-0.098901098901099,14,true,true,true,industry,BK1417,纯碱,0.0506427184951308,0.03278111257605665,1.285296978246383,0.07282913165266107
SH603160,603160,2026-04-24,699,1407,1062,1428,1298.5,2026-04-27,64.66,64.66,-0.06167464809171386,-0.052461899179366944,1.6414014791558906,1.6480000000000001,2026-05-06,0.012063099288586399,2026-05-13,0.0429941231054749,2026-05-27,0.028456541911537236,28,true,true,true,concept,BK0935,中芯概念,0.03584055699232058,0.0690547395711063,1.518874693288249,0.027522935779816515
SZ003026,003026,2026-04-24,436,1764,1132,1786,1668,2026-04-27,27.01,27.01,0.07310290027810895,0.07566706491437691,1.2503865870837578,7.536,2026-05-06,0.3313587560162903,2026-05-13,0.28285820066641976,2026-05-27,0.11699370603480186,7,true,true,true,industry,BK1325,半导体材料,0.04607853693862607,0.10939656900008843,1.881060046920368,0.022408963585434174
SH600171,600171,2026-04-23,801,1134,955,1083,1213,2026-04-24,28.55,28.1,0.022189887231720773,0.037666174298375266,1.503388968869463,1.732,2026-04-30,0.0010507880910681777,2026-05-12,0.038528896672504365,2026-05-26,0.04028021015761807,27,true,true,true,concept,BK1136,光通信模块,0.10002004646062046,0.14912015964621617,1.56909869100517,0.0022935779816513763
SZ002169,002169,2026-04-23,935,1495,935,1259,1301.5,2026-04-24,12.89,12.89,-0.12133605998636665,-0.12728503723764384,1.4457143732341693,5.314,2026-04-30,0.010085337470907563,2026-05-12,0.04577191621411947,2026-05-26,0.4142746314972847,18,true,true,true,concept,BK0952,第三代半导体,0.03449685718265161,0.08438711257423548,1.4749907846403727,0.052752293577981654
