sample,sec,code,name,signalDate,signalRank,rank20,rankRiseFrom20,firstTop100Date,firstTop100Rank,daysToTop100,tradingDaysToTop100,bestFutureRank,bestFutureRankDate,enteredTop100,enteredTop100Within7CalDays,enteredTop100Within14CalDays,enteredTop100Within30CalDays,amountRatio,prev5,ret5,ret10,ret20,bestBoardType,bestBoardName,bestBoardRet5,bestBoardAmountRatio
broad_sector_filter,SH600372,600372,中航机载,2025-12-15,581,1211,630,2026-01-08,20,24,16,12,2026-01-19,True,False,False,True,1.3477398279292347,0.009538950715421324,0.02136075949367089,0.04193037974683533,0.20253164556962022,concept,商业航天,0.048859875622794924,1.9306756651186912
broad_sector_filter,SH600547,600547,山东黄金,2025-12-15,696,967,271,2026-01-26,47,42,28,22,2026-05-31,True,False,False,False,1.025760284832827,0.026021264689423562,0.04903581267217638,0.06473829201101933,0.2768595041322315,industry,黄金,0.06738348364992186,1.2615390542111844
broad_sector_filter,SH603078,603078,江化微,2025-12-15,941,2338,1397,2026-01-20,48,36,24,10,2026-05-01,True,False,False,False,1.1580624353017046,0.020647321428571175,-0.020218579234972722,-0.034426229508196626,0.4131147540983606,industry,电子化学品Ⅲ,0.02221150800966165,1.2515694430881208
broad_sector_filter,SZ000600,000600,建投能源,2025-12-15,700,2466,1766,2026-03-12,23,87,55,23,2026-03-12,True,False,False,False,1.0876115088271239,0.05032258064516126,-0.01477832512315258,0.0049261083743843415,0.046798029556650356,concept,核能核电,0.023277138771336636,1.3021188644595367
broad_sector_filter,SZ000768,000768,中航西飞,2025-12-15,530,1261,731,2026-01-06,39,22,14,23,2026-06-12,True,False,False,True,1.1376232632965912,0.015031315240083387,0.010309278350515427,0.03711340206185554,0.1496907216494845,concept,商业航天,0.048859875622794924,1.9306756651186912
broad_sector_filter,SZ300666,300666,江丰电子,2025-12-15,790,1444,654,2026-04-03,100,109,71,7,2026-06-11,True,False,False,False,1.0432096208547779,0.01674208144796374,0.030123842463460893,0.03916099520249916,0.3382795938859757,industry,半导体材料,0.039960249621259436,1.173438321225885
broad_sector_filter,SH600487,600487,亨通光电,2025-12-12,403,634,231,2025-12-17,39,5,3,1,2026-06-03,True,True,True,True,1.4056059487565422,0.0449550449550451,0.145612343297975,0.22709739633558357,0.1595949855351979,concept,CPO概念,0.09623219726493315,1.5757649459739544
broad_sector_filter,SH600590,600590,泰豪科技,2025-12-12,621,2181,1560,2026-02-03,41,53,35,33,2026-04-20,True,False,False,False,1.7949983036910802,0.040000000000000036,-0.03624733475479758,-0.01279317697228155,0.07249466950959493,concept,商业航天,0.06251914703998374,2.0023929674111964
broad_sector_filter,SH688343,688343,云天励飞-U,2025-12-12,657,1960,1303,2026-02-27,93,77,47,93,2026-02-27,True,False,False,False,1.2694338934079195,0.026975215664795327,-0.06604152712659084,-0.014333556597454833,0.11118553248492957,concept,低空经济,0.004984274374719044,1.3901550091395583
broad_sector_filter,SZ001389,001389,广合科技,2025-12-12,808,2154,1346,2026-01-21,90,40,26,57,2026-02-26,True,False,False,False,2.218729050263068,0.10453310453310438,0.0218015665796345,0.0506527415143605,0.02872062663185382,concept,百元股,0.04361654393327519,1.3325547749132243
broad_sector_filter,SZ300153,300153,科泰电源,2025-12-12,779,3065,2286,,,,,106,2026-01-22,False,False,False,False,2.0471437281986242,0.011147540983606596,-0.06060606060606066,-0.027370478983382185,0.10329097425871603,concept,核能核电,0.03616435941040996,1.2237271751443892
broad_sector_filter,SZ300398,300398,飞凯材料,2025-12-12,669,1352,683,2026-05-07,61,146,92,35,2026-06-24,True,False,False,False,1.116292624793463,0.04011065006915615,0.00402684563758382,0.03892617449664426,0.08232662192393736,concept,光通信模块,0.08557693648793796,1.691803043716535
broad_sector_filter,SH605090,605090,九丰能源,2025-12-11,438,3304,2866,2025-12-12,67,1,1,45,2025-12-24,True,True,True,True,1.3132285395507395,0.0728414442700156,0.06631609699094376,0.18288051416885787,0.4811568799298862,concept,商业航天,0.0707927556872856,1.9906128254031996
broad_sector_filter,SH605123,605123,派克新材,2025-12-11,469,2995,2526,2025-12-12,73,1,1,38,2025-12-14,True,True,True,True,2.3308448302729716,0.1438713416401045,0.06343378070397554,0.23600911623195753,0.5968599645479868,concept,商业航天,0.0707927556872856,1.9906128254031996
broad_sector_filter,SZ000733,000733,振华科技,2025-12-11,508,1005,497,2026-05-23,60,163,104,14,2026-06-04,True,False,False,False,1.0642165100053358,0.03614457831325302,0.0171288743882545,0.05220228384991854,0.19942903752039154,concept,商业航天,0.0707927556872856,1.9906128254031996
broad_sector_filter,SZ000876,000876,新 希 望,2025-12-11,681,934,253,,,,,218,2026-04-11,False,False,False,False,1.1534974727587193,-0.0216450216450218,0.013318534961154427,0.013318534961154427,0.029966703662597016,industry,生猪养殖,0.030003364691024492,1.1645546304717558
broad_sector_filter,SZ301196,301196,唯科科技,2025-12-11,453,3923,3470,2026-03-25,53,104,66,53,2026-03-25,True,False,False,False,2.2261547410524036,0.1145158466118017,-0.13305412371134018,-0.0381765463917525,-0.022551546391752608,concept,百元股,0.03592942339285954,1.2231539609048796
broad_sector_filter,SH603306,603306,华懋科技,2025-12-10,409,1296,887,2026-04-09,36,120,77,36,2026-04-09,True,False,False,False,1.0124986390061106,0.13723813595553658,0.19594081942336872,0.195371775417299,0.21130500758725335,concept,CPO概念,0.12371949115554859,1.3034284839293342
broad_sector_filter,SZ002796,002796,世嘉科技,2025-12-10,561,2700,2139,2025-12-17,60,7,5,37,2026-04-06,True,True,True,True,1.4291910401997285,0.16166029492080836,0.07666980244590782,0.3419567262464722,0.5437441204139228,industry,通信网络设备及器件,0.10370332510696723,1.3669648276789048
broad_sector_filter,SZ002902,002902,铭普光磁,2025-12-10,577,2031,1454,2026-03-19,26,99,63,14,2026-03-25,True,False,False,False,1.9790412454399016,0.09884526558891449,-0.050654284508231395,-0.024060785141409857,-0.053186998733642965,concept,CPO概念,0.12371949115554859,1.3034284839293342
broad_sector_filter,SZ300303,300303,聚飞光电,2025-12-10,581,2543,1962,2026-02-26,16,78,48,5,2026-03-05,True,False,False,False,1.886660937789663,0.06382978723404253,-0.04160688665710188,-0.015781922525107572,-0.010043041606886516,concept,光通信模块,0.11045261195813216,1.4035241827562308
broad_sector_filter,SZ002803,002803,吉宏股份,2025-12-09,729,2457,1728,2026-04-20,83,132,85,83,2026-04-20,True,False,False,False,1.1676543291498922,0.02516881522406389,-0.07875894988066834,-0.022076372315035897,0.023269689737470012,concept,华为概念,0.007173977536574894,1.0120090842010194
broad_sector_filter,SZ300442,300442,润泽科技,2025-12-09,456,1406,950,2026-01-01,77,23,16,3,2026-02-26,True,False,False,True,1.4967103356347424,0.001996007984031989,0.02690314866480681,0.004982064567556899,0.19190912714228792,industry,通信,0.02649465389772998,1.3562937538461313
broad_sector_filter,SH600271,600271,航天信息,2025-12-08,446,1210,764,2025-12-15,26,7,5,6,2025-12-16,True,True,True,True,2.045757355473801,0.0512820512820511,0.04535637149028071,0.079913606911447,0.2332613390928726,concept,国产芯片,0.014176807567509275,1.1084199405030633
broad_sector_filter,SH600456,600456,宝钛股份,2025-12-08,875,2175,1300,2026-01-01,93,24,17,34,2026-02-27,True,False,False,True,1.1025918563928432,0.04205457463884432,0.027631170443961572,0.09593294008072006,0.20149022042843834,concept,商业航天,0.0571398364137905,1.8005173457702628
broad_sector_filter,SH600990,600990,四创电子,2025-12-08,418,3631,3213,2025-12-12,45,4,4,35,2025-12-14,True,True,True,True,2.3202244394784866,0.08580223162754907,0.10105034407823243,0.15356754798985883,0.19159724737413986,concept,商业航天,0.0571398364137905,1.8005173457702628
broad_sector_filter,SZ300265,300265,通光线缆,2025-12-08,1086,4009,2923,2025-12-11,24,3,3,14,2026-02-02,True,True,True,True,1.0270507569008467,0.05230125523012541,0.3619999999999999,0.3580000000000001,0.42599999999999993,concept,商业航天,0.0571398364137905,1.8005173457702628
broad_sector_filter,SZ300939,300939,秋田微,2025-12-08,801,4055,3254,2026-05-25,72,168,108,72,2026-05-25,True,False,False,False,1.3751367180571687,0.051420029895366204,0.00833572865766019,0.024719747053751018,0.016384018396090827,concept,MiniLED,0.018161918437411106,1.4682848240252688
broad_sector_filter,SZ000925,000925,众合科技,2025-12-05,1010,2584,1574,2026-04-23,40,139,90,4,2026-04-26,True,False,False,False,1.341941978578939,0.028915662650602192,-0.014002333722287208,0.02450408401400228,0.06534422403733964,concept,商业航天,0.05443012573598871,1.6249972767939802
broad_sector_filter,SZ300007,300007,汉威科技,2025-12-05,508,931,423,2026-01-02,91,28,18,38,2026-01-05,True,False,False,True,1.2054430871316164,0.04153877634540626,-0.026496565260058946,-0.1014720314033366,0.21609421000981355,concept,无人机,0.020107295721728313,1.2101012221659901
broad_sector_filter,SZ301028,301028,鼎熔岩,2025-12-05,714,1116,402,2026-05-08,100,154,98,100,2026-05-08,True,False,False,False,1.3702132354386345,0.08573487031700289,0.015415549597855183,-0.013404825737265313,-0.025469168900804307,industry,其他通用设备,0.013627645371746544,1.2986099760238774
broad_sector_filter,SH600862,600862,中航高科,2025-12-04,883,2426,1543,2026-06-12,41,190,124,33,2026-06-14,True,False,False,False,1.186751504450824,-0.0009661835748792091,0.01644100580270802,0.04400386847195348,0.1895551257253385,concept,商业航天,0.04051266646640639,1.4559860232065174
